2022-09-11 18:42:44,104 INFO    MainThread:117 [wandb_setup.py:_flush():68] Configure stats pid to 117
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_setup.py:_flush():68] Loading settings from /notebooks/CVPR2023/wandb/settings
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main_two_branch_new.py', 'program': '/notebooks/CVPR2023/main_two_branch_new.py'}
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_init.py:_log_setup():476] Logging user logs to /notebooks/CVPR2023/wandb/run-20220911_184243-1ekwk9u3/logs/debug.log
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_init.py:_log_setup():477] Logging internal logs to /notebooks/CVPR2023/wandb/run-20220911_184243-1ekwk9u3/logs/debug-internal.log
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_init.py:init():516] calling init triggers
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_init.py:init():569] starting backend
2022-09-11 18:42:44,105 INFO    MainThread:117 [wandb_init.py:init():573] setting up manager
2022-09-11 18:42:44,112 INFO    MainThread:117 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-09-11 18:42:44,116 INFO    MainThread:117 [wandb_init.py:init():580] backend started and connected
2022-09-11 18:42:44,120 INFO    MainThread:117 [wandb_init.py:init():658] updated telemetry
2022-09-11 18:42:44,136 INFO    MainThread:117 [wandb_init.py:init():692] communicating run to backend with 30 second timeout
2022-09-11 18:42:44,293 INFO    MainThread:117 [wandb_run.py:_on_init():1974] communicating current version
2022-09-11 18:42:44,360 INFO    MainThread:117 [wandb_run.py:_on_init():1978] got version response 
2022-09-11 18:42:44,360 INFO    MainThread:117 [wandb_init.py:init():727] starting run threads in backend
2022-09-11 18:42:44,501 INFO    MainThread:117 [wandb_run.py:_console_start():1954] atexit reg
2022-09-11 18:42:44,501 INFO    MainThread:117 [wandb_run.py:_redirect():1812] redirect: SettingsConsole.WRAP_RAW
2022-09-11 18:42:44,501 INFO    MainThread:117 [wandb_run.py:_redirect():1877] Wrapping output streams.
2022-09-11 18:42:44,501 INFO    MainThread:117 [wandb_run.py:_redirect():1899] Redirects installed.
2022-09-11 18:42:44,503 INFO    MainThread:117 [wandb_init.py:init():764] run started, returning control to user process
2022-09-11 18:42:44,503 INFO    MainThread:117 [wandb_config.py:__setitem__():148] config set dataset = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f13365b7b80>>
2022-09-11 18:42:44,503 INFO    MainThread:117 [wandb_run.py:_config_callback():1145] config_cb dataset None None
2022-09-11 18:42:44,503 INFO    MainThread:117 [wandb_config.py:__setitem__():148] config set model = mae_vit_tiny - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f13365b7b80>>
2022-09-11 18:42:44,503 INFO    MainThread:117 [wandb_run.py:_config_callback():1145] config_cb model mae_vit_tiny None
2022-09-11 18:42:44,503 INFO    MainThread:117 [wandb_config.py:__setitem__():148] config set epoch = 100 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f13365b7b80>>
2022-09-11 18:42:44,503 INFO    MainThread:117 [wandb_run.py:_config_callback():1145] config_cb epoch 100 None
2022-09-11 18:42:44,504 INFO    MainThread:117 [wandb_config.py:__setitem__():148] config set classification_loss_ratio = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f13365b7b80>>
2022-09-11 18:42:44,504 INFO    MainThread:117 [wandb_run.py:_config_callback():1145] config_cb classification_loss_ratio 0.1 None
2022-09-11 18:42:51,313 WARNING MsgRouterThr:117 [router.py:message_loop():77] message_loop has been closed
